Distribution; Statistics; p-value; Parameters
gumbel_r;0.06427936701173087;2.584339750760413e-36;(79.16907188084619, 14.59544355442702)
hypsecant;0.02928470535162353;7.113174115089432e-08;(86.58997172634064, 10.066070056026629)
invgamma;0.027493502868233655;5.437877570227381e-07;(187.77848444232814, -115.69276878216601, 37765.55399293383)
invgauss;0.052787008195147866;1.253355968476018e-24;(0.03772304999002915, -1.9556933419639737, 2346.6467361418436)
invweibull;0.12029660322254099;4.028580014641683e-126;(4.87178056100913, -0.24559362538974394, 78.00067254171623)
johnsonsb;0.005765643586571223;0.8937107973207791;(-0.4204294892585128, 4.050624746574124, -40.09679044768444, 240.88236297800415)
johnsonsu;0.008203200082921525;0.5114633822009056;(18.659808610314393, 37.9359396222595, 339.16007108875453, 493.3484910055929)
kstwobign;0.09220487888884266;2.8566518121954037e-74;(21.204265186182624, 75.65597442155166)
laplace;0.04767584065996611;3.6151501418060736e-20;(86.6937707148413, 11.71930862511583)
loggamma;0.008203664158113577;0.5113896831336726;(637.2021279047933, -2293.833656296345, 368.6832718116672)
logistic;0.02197665622220124;0.00012763688089146473;(86.56129065999318, 8.397066498593617)
loglaplace;0.05189317772284141;8.142941911660355e-24;(7.24611401451307, -0.2289767463569356, 86.92918067138632)
lognorm;0.010073909606571951;0.2621611121340516;(0.01279493553481154, -1054.8533558706106, 1141.2962317798056)
mielke;0.02288545750672899;5.647366552982379e-05;(7.197048119414687, 13.575712708780385, -1.1134799078058215, 94.72583299216012)
moyal;0.10245668843673339;1.3243616034061083e-91;(76.12548421302209, 10.260933468445682)
ncf;0.341145752222068;0.0;(8.094677583563831e-08, 30.47244358227062, 13.159177927220515, -0.05998337989580159, 4.9243842142271e-07)
nct;0.011511240263713363;0.14122817865849485;(339.88306312558626, 6.309399856962903, -3.177176604593214, 14.181778145014851)
norm;0.00953223779197132;0.3235436573145578;(86.49723740942731, 14.611248512498262)
norminvgauss;0.029850707808134536;3.6419993090194827e-08;(82.83553587654012, 64.2180882581866, -1.0793420579771866, 71.37631458153277)
powerlognorm;0.4652812919994469;0.0;(0.001993708506263109, 0.10883384279299865, 29.119303252711216, 1.7888761992396034)
powernorm;0.00864984050741624;0.44284539350714874;(1.1720914900298292, 88.63917521547702, 15.306836379754827)
skewnorm;0.008610189863368145;0.4487350844667717;(-0.5548121542167104, 92.63163324243618, 15.846746992384602)
t;0.009535025872705716;0.32320427324213513;(78390.9286739841, 86.497145612966, 14.611132976657414)
triang;0.1302801544657667;7.518510083952869e-148;(0.5451438007637571, 29.78816462722058, 107.18961277720715)
tukeylambda;0.021378105341041675;0.00021447431316860407;(0.187912033581496, 87.24373876317209, 10.79335180740344)
vonmises_line;0.009586517759220148;0.3169799875488961;(249.87581582518743, 86.49415553106384, 230.85390238465536)
weibull_max;0.8158203170330639;0.0;(0.23289505941319516, 136.14685367199158, 1.646854038259388)
